Table|Column|TypeName|TypeLenght|Default|Options|Primary|Unique|ForeignTable|ForeignColumn
4|0|INTEGER|||GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY|false|false||
4|1|VARCHAR|100||NOT NULL|false|true||
4|2|VARCHAR|100|NULL||false|true||
4|3|VARCHAR|150|''|NOT NULL|false|false||
4|8|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
5|0|INTEGER|||NOT NULL|true|false|4|0
5|5|INTEGER|||NOT NULL|true|false|4|0
5|8|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
6|0|INTEGER|||NOT NULL|true|false|4|0
6|4|INTEGER|||NOT NULL|true|false|2|4
6|7|VARCHAR|100||NOT NULL|false|false||
6|8|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
7|0|INTEGER|||NOT NULL|true|false|4|0
7|4|INTEGER|||NOT NULL|true|false|2|4
7|7|VARCHAR|100||NOT NULL|false|false||
7|8|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
8|0|INTEGER|||NOT NULL|true|false|4|0
8|4|INTEGER|||NOT NULL|true|false|2|4
8|6|INTEGER|||NOT NULL|true|false|3|6
8|7|VARCHAR|100||NOT NULL|false|false||
8|8|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
9|0|INTEGER|||NOT NULL|true|false|4|0
9|4|INTEGER|||NOT NULL|true|false|2|4
9|6|INTEGER|||NOT NULL|true|false|3|6
9|7|VARCHAR|100||NOT NULL|false|false||
9|8|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
10|0|INTEGER|||NOT NULL|true|false|4|0
10|4|INTEGER|||NOT NULL|true|false|2|4
10|6|INTEGER|||NOT NULL|true|false|3|6
10|7|VARCHAR|100||NOT NULL|false|false||
10|8|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
11|0|INTEGER|||NOT NULL|true|false|4|0
11|4|INTEGER|||NOT NULL|true|false|2|4
11|6|INTEGER|||NOT NULL|true|false|3|6
11|7|VARCHAR|100||NOT NULL|false|false||
11|8|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
12|0|INTEGER|||NOT NULL|true|false|4|0
12|4|INTEGER|||NOT NULL|true|false|2|4
12|6|INTEGER|||NOT NULL|true|false|3|6
12|7|VARCHAR|100||NOT NULL|false|false||
12|8|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
13|0|INTEGER|||NOT NULL|true|false|4|0
13|4|INTEGER|||NOT NULL|true|false|2|4
13|7|VARCHAR|100||NOT NULL|false|false||
13|8|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
