Field|Method|Name|Type|Table|Column
0|People|peoples|Primary|Tables|4
1|People|connections|Sequence|Tables|6
2|People|locales|Sequence|Tables|7
3|People|names|Sequence|Tables|8
4|People|emailAddresses|Sequence|Tables|9
5|People|addresses|Sequence|Tables|10
6|People|phoneNumbers|Sequence|Tables|11
7|People|organizations|Sequence|Tables|12
8|People|sipAddresses|Sequence|Tables|13
9|People|userDefined|Sequence|Tables|14
10|People|resourceName|Primary|Columns|2
11|People|type|Field|Labels|0
12|People|key|Field|Labels|1
13|People|value|Field|Labels|2
14|People|current|Field|Labels|3
15|People|name|Field|Labels|4
16|People|displayName|Field|Labels|5
17|People|familyName|Field|Labels|6
18|People|givenName|Field|Labels|7
19|People|middleName|Field|Labels|8
20|People|poBox|Field|Labels|9
21|People|streetAddress|Field|Labels|10
22|People|extendedAddress|Field|Labels|11
23|People|city|Field|Labels|12
24|People|region|Field|Labels|13
25|People|postalCode|Field|Labels|14
26|People|country|Field|Labels|15
27|People|countryCode|Field|Labels|16
28|People|canonicalForm|Field|Labels|17
29|People|department|Field|Labels|18
30|People|title|Field|Labels|19
31|People|jobDescription|Field|Labels|20
32|People|domain|Field|Labels|21
33|People|location|Field|Labels|22
34|People|metadata|Field|Loop|1
35|People|primary|Field|Loop|0
36|People|deleted|Field|Loop|0
37|People|nextSyncToken|Field|Columns|4
38|People|nextPageToken|Header|Loop|0
39|Group|contactGroups|Sequence|Tables|5
40|Group|resourceName|Primary|Columns|2
41|Group|name|Field|Columns|9
42|Group|groupType|Field|Loop|0
43|Group|metadata|Field|Loop|0
44|Group|updateTime|Field|Loop|0
45|Group|deleted|Field|Loop|0
46|Group|nextSyncToken|Field|Columns|5
47|Connection|responses|Sequence|Tables|5
48|Connection|contactGroup|Field|Columns|0
49|Connection|resourceName|Primary|Columns|2
50|Connection|memberResourceNames|Sequence|Tables|6
